G_tag,cluster_id,mz_L,mz_R,tot_estimate,tot_intensity
G25,6,858.37,858.45,1.04325424489e-05,0.0
G22,6,857.37,857.45,1.56905560217,0.0
G23,6,857.37,857.45,0.200617905055,0.0
G20,6,856.37,856.45,6.01530835016,0.0
G21,6,856.37,856.45,6.61688413882,0.0
G18,6,855.37,855.45,47.852799013,91.61
G28,6,859.37,859.46,5.00556977707e-06,0.0
G29,6,859.37,859.46,1.5266278484e-05,0.0
G31,6,856.37,856.45,0.000613150833935,0.0
G33,6,858.37,858.45,0.0962571613965,0.0
G32,6,856.37,856.45,0.00181379862551,0.0
G35,6,858.37,858.45,0.293570701719,0.0
G34,6,857.37,857.45,0.906637352766,0.0
G37,6,857.37,857.45,1.98425959723e-05,0.0
G36,6,856.37,856.45,6.11452173513e-05,0.0
G19,6,856.37,856.45,0.381573336923,0.0
G17,6,854.36,854.45,129.070819894,106.5
G16,6,853.36,853.46,259.100582952,263.7
G30,6,858.37,858.45,4.71470014898e-05,0.0
G72,7,904.48,904.57,0.622890274687,0.0
G68,7,902.48,902.56,0.189165901615,0.0
G69,7,904.48,904.57,2.49628358977e-06,0.0
G62,7,902.48,902.56,67.1890273095,0.0
G63,7,902.48,902.56,1.81313421445,0.0
G60,7,898.46,898.56,132.052410153,127.5
G61,7,903.48,903.56,10.6673956994,76.22
G66,7,902.48,902.56,3.62871569221,0.0
G67,7,902.48,902.56,0.38770945777,0.0
G64,7,904.48,904.57,1.21795258404e-06,0.0
G65,7,905.48,905.58,2.17571312525e-07,0.0
G57,7,899.47,899.56,2501.39534397,2498.0
G59,7,900.47,900.56,1259.13961717,1350.0
G58,7,901.48,901.56,358.472272911,143.18
G71,7,902.48,902.56,2.06379272011e-05,0.0
G70,7,902.48,902.56,0.000103197531999,0.0
G168,8,728.31,728.39,0.714555280642,0.0
G169,8,730.31,730.39,-1.76588356695e-12,0.0
G162,8,730.31,730.39,-8.08265367477e-13,0.0
G163,8,731.31,731.4,-9.51627856428e-14,0.0
G160,8,729.31,729.39,-6.07090333314e-12,0.0
G161,8,730.31,730.39,-4.35577039326e-14,0.0
G166,8,728.31,728.39,12.7659143694,0.0
G167,8,728.31,728.39,10.0684338723,0.0
G164,8,731.31,731.4,-2.06088039579e-13,0.0
G165,8,729.31,729.39,2.92867155749,0.0
G175,8,730.31,730.39,0.341791605715,0.0
G174,8,729.31,729.39,1.34048690239,0.0
G177,8,728.31,728.39,-1.05542392392e-13,0.0
G176,8,728.31,728.39,-2.73328576074e-11,0.0
G171,8,729.31,729.39,-4.30851122426e-13,0.0
G170,8,729.31,729.39,0.0722393089805,0.0
G173,8,730.31,730.39,0.157824982836,0.0
G172,8,728.31,728.39,-2.94338215118e-11,0.0
G159,8,729.31,729.39,-7.69738700958e-12,0.0
G158,8,726.31,726.4,271.099742953,186.2
G157,8,725.3,725.4,623.836343842,664.5
G156,8,727.31,727.39,94.3210870012,88.27
G100,9,600.25,600.33,0.236836623162,0.0
G101,9,601.25,601.33,8.4812914379e-11,0.0
G102,9,599.25,599.33,18.5401674187,0.0
G103,9,599.25,599.33,16.6718546748,0.0
G104,9,599.25,599.33,4.11686637825e-11,0.0
G105,9,599.25,599.33,3.1016373098e-09,0.0
G106,9,600.25,600.33,1.13172919744e-12,0.0
G107,9,602.25,602.34,0.0450451431098,0.0
G108,9,601.25,601.33,0.32429432165,0.0
G97,9,601.25,601.33,1.40186984879e-10,0.0
G96,9,603.25,603.34,2.21071503161e-12,0.0
G95,9,599.25,599.33,0.0386774031115,0.0
G94,9,601.25,601.33,0.963495266283,0.0
G93,9,603.25,603.34,1.31805394259e-12,0.0
G91,9,597.24,597.34,289.475448461,304.9
G90,9,601.24,601.25,6.9300133903e-12,36.45
G99,9,602.25,602.34,9.48908982642e-12,0.0
G92,9,598.25,598.34,107.406943132,48.47
G109,9,602.25,602.34,0.0755522757875,0.0
G98,9,602.25,602.34,2.81925785274e-11,0.0
G89,9,600.33,600.34,7.68948245256,369.2
G199,10,676.83,676.91,15.8151060798,0.0
G198,10,677.33,677.41,3.18892874349,0.0
G193,10,677.83,677.91,0.425952051338,0.0
G192,10,674.31,674.41,395.408810288,368.7
G191,10,676.32,676.41,116.172881187,110.1
G190,10,675.82,675.91,340.435716649,510.3
G197,10,677.33,677.41,2.94874782854,0.0
G196,10,677.33,677.41,0.074765793181,0.0
G195,10,677.83,677.91,0.336191673202,0.0
G194,10,676.83,676.91,1.61158276678,0.0
G188,10,674.81,674.91,1089.68072865,1203.0
G189,10,675.32,675.41,754.044408472,536.4
G200,10,676.83,676.91,12.6216539138,0.0
G206,10,677.33,677.41,0.215262566406,0.0
G203,10,676.83,676.91,1.49020300116,0.0
G202,10,677.33,677.41,0.134265571881,0.0
G201,10,677.83,677.91,0.265678778813,0.0
G205,10,677.33,677.41,0.16990053728,0.0
G204,10,676.83,676.91,0.037784244656,0.0
G236,11,668.81,668.9,-5.37300024842e-11,0.0
G234,11,669.81,669.91,-1.95827248788e-12,0.0
G235,11,669.31,669.41,-1.16782905822e-11,0.0
G232,11,668.31,668.4,-4.18970009616e-12,0.0
G233,11,667.81,667.9,-5.49040667141e-10,0.0
G230,11,668.81,668.9,-2.96926184964e-13,0.0
G231,11,668.31,668.4,-1.89657919613e-10,0.0
G225,11,668.31,668.4,29.3926343009,0.0
G224,11,668.31,668.4,0.16243146037,0.0
G221,11,667.31,667.4,301.846158518,322.2
G220,11,666.81,666.91,637.052384745,307.9
G223,11,667.81,667.9,103.751081625,0.0
G222,11,666.31,666.41,823.926640708,1091.0
G227,11,669.31,669.41,1.07125971407,0.0
G226,11,668.81,668.9,6.38852984315,0.0
G229,11,667.81,667.9,-2.73685239e-12,0.0
G228,11,667.81,667.9,2.29194708847,0.0
G297,12,305.11,305.2,4.39081453775,0.0
G290,12,308.11,308.2,0.0125152690868,0.0
G291,12,308.11,308.2,0.00832271957738,0.0
G292,12,305.11,305.2,12.1270866774,0.0
G293,12,306.11,306.2,1.39593279955,0.0
G294,12,306.11,306.2,0.516076649252,0.0
G295,12,307.11,307.2,0.108725687265,0.0
G296,12,305.11,305.2,0.569047202006,0.0
G299,12,306.11,306.2,1.79012280661,0.0
G289,12,307.11,307.2,0.20605865262,0.0
G288,12,307.11,307.2,0.0375378192359,0.0
G298,12,305.11,305.2,4.48338649232,0.0
G300,12,306.11,306.2,0.326107666288,0.0
G301,12,307.11,307.2,0.0723031522287,0.0
G287,12,303.1,303.2,261.809479824,263.0
G286,12,304.11,304.2,73.2250569367,74.03
G180,13,1220.65,1220.74,16.3915781605,285.3
G181,13,1219.65,1219.73,300.854637401,700.4
G182,13,1216.64,1216.74,1706.35893466,1767.0
G183,13,1218.65,1218.73,918.274067906,922.7
G184,13,1221.65,1221.74,4.04216092977,0.0
G185,13,1221.65,1221.74,7.48539882817,0.0
G186,13,1222.65,1222.75,1.51198811975,0.0
G187,13,1221.65,1221.74,2.4344684298,0.0
G179,13,1217.64,1217.73,1849.02440989,1731.0
G178,13,1220.65,1220.74,57.5489401786,152.1
G311,14,756.41,756.49,0.0172192728749,0.0
G310,14,756.41,756.49,0.323011781968,0.0
G312,14,756.41,756.49,0.441541569032,0.0
G304,14,752.4,752.5,1535.11228766,1536.0
G305,14,753.4,753.49,670.835434689,697.8
G302,14,754.4,754.49,167.75098637,96.68
G303,14,755.41,755.49,29.9289443633,51.37
G306,14,756.41,756.49,2.27065730061,0.0
G307,14,756.41,756.49,0.888098916467,0.0
G308,14,757.41,757.5,0.0273899929196,0.0
G309,14,757.41,757.5,0.0700296850198,0.0
G40,15,250.09,250.18,0.153125145782,0.0
G41,15,249.09,249.18,0.369909100047,0.0
G42,15,250.09,250.18,0.589418356667,0.0
G43,15,250.09,250.18,0.0731821311919,0.0
G44,15,248.09,248.18,23.867225312,0.0
G45,15,248.09,248.18,6.22028630338,0.0
G46,15,248.09,248.18,12.7409038255,0.0
G47,15,249.09,249.18,4.72184764783,0.0
