mz_L,mz_R,tot_estimate,tot_intensity
1045.22,1045.32,0.0,16.48
1046.01,1046.11,0.0,16.55
1046.78,1046.88,0.0,18.73
1048.28,1048.38,0.0,53.85
1052.26,1052.36,0.0,18.68
1059.53,1059.63,0.0,284.4
1061.14,1061.24,0.0,86.95
1061.57,1061.67,0.0,147.3
1067.58,1067.68,0.0,118.7
1068.54,1068.64,0.0,174.5
1082.24,1082.34,0.0,16.55
1087.54,1087.64,0.0,219.3
1088.51,1088.61,0.0,161.6
1088.59,1088.69,0.0,26.14
1089.54,1089.64,0.0,89.12
1094.48,1094.58,0.0,196.4
1094.55,1094.65,0.0,73.85
1095.51,1095.61,0.0,389.6
1096.5,1096.6,0.0,267.8
1097.5,1097.6,0.0,180.1
1101.56,1101.66,0.0,36.76
1102.64,1102.74,0.0,71.09
1103.66,1103.76,0.0,21.29
1104.17,1104.27,0.0,74.54
1110.49,1110.59,0.0,35.33
1111.49,1111.59,0.0,121.9
1113.3,1113.4,0.0,36.55
1114.33,1114.43,0.0,30.86
1119.55,1119.65,0.0,35.38
1125.52,1125.62,0.0,75.12
1126.56,1126.66,0.0,61.18
1127.5,1127.6,0.0,65.54
1129.5,1129.6,0.0,63.85
1131.47,1131.57,0.0,37.67
1160.63,1160.73,0.0,39.9
1174.64,1174.74,0.0,64.69
1186.54,1186.64,0.0,90.06
1189.66,1189.76,0.0,65.12
1190.56,1190.66,0.0,41.07
1196.57,1196.67,0.0,100.5
1200.61,1200.71,0.0,283.7
1201.68,1201.78,0.0,28.57
1209.65,1209.75,0.0,50.54
1219.75,1219.85,0.0,0.5918
1238.01,1238.11,0.0,28.56
1239.64,1239.74,0.0,28.94
1240.62,1240.72,0.0,113.8
1243.65,1243.75,0.0,56.76
1246.57,1246.67,0.0,72.51
1250.65,1250.75,0.0,72.6
1261.7,1261.8,0.0,25.53
1265.61,1265.71,0.0,69.15
1265.9,1266.0,0.0,49.63
1269.58,1269.68,0.0,76.7
1272.17,1272.27,0.0,16.48
1272.66,1272.76,0.0,76.8
1278.61,1278.71,0.0,154.4
1280.62,1280.72,0.0,50.53
1289.64,1289.74,0.0,430.3
1290.65,1290.75,0.0,1110.0
1290.84,1290.94,0.0,38.61
1291.64,1291.74,0.0,313.3
1292.66,1292.76,0.0,328.7
1294.66,1294.76,0.0,24.17
1301.64,1301.74,0.0,17.61
1303.65,1303.75,0.0,409.2
1304.28,1304.38,0.0,56.28
1304.66,1304.76,0.0,706.9
1305.67,1305.77,0.0,843.8
1306.66,1306.76,0.0,676.9
1307.63,1307.73,0.0,390.3
1308.62,1308.72,0.0,131.2
1308.73,1308.83,0.0,22.11
1309.69,1309.79,0.0,117.8
1312.61,1312.71,0.0,276.3
1316.65,1316.75,0.0,99.96
1317.62,1317.72,0.0,37.98
1318.65,1318.75,0.0,35.42
1319.65,1319.75,0.0,94.47
1320.67,1320.77,0.0,251.3
1321.67,1321.77,0.0,99.84
1321.74,1321.84,0.0,227.5
1322.71,1322.81,0.0,427.1
1323.25,1323.35,0.0,14.31
1325.71,1325.81,0.0,29.73
1326.42,1326.52,0.0,21.01
1328.66,1328.76,0.0,49.98
1332.39,1332.49,0.0,121.9
1332.87,1332.97,0.0,103.5
1334.38,1334.48,0.0,23.35
1335.74,1335.84,0.0,277.8
1336.89,1336.99,0.0,28.93
1341.01,1341.11,0.0,17.87
1344.87,1344.97,0.0,40.9
1346.73,1346.83,0.0,65.19
1346.81,1346.91,0.0,16.9
1347.96,1348.06,0.0,16.54
1348.91,1349.01,0.0,16.65
1349.31,1349.41,0.0,52.73
1350.25,1350.35,0.0,16.54
1350.83,1350.93,0.0,83.8
1351.38,1351.48,0.0,25.26
1351.57,1351.67,0.0,28.07
1351.94,1352.04,0.0,16.66
1353.28,1353.38,0.0,14.52
1353.79,1353.89,0.0,111.2
1357.01,1357.11,0.0,31.27
1358.0,1358.1,0.0,17.6
1363.67,1363.77,0.0,223.9
1364.68,1364.78,0.0,1140.0
1365.69,1365.79,0.0,2833.0
1366.57,1366.67,0.0,1.714
1366.7,1366.8,0.0,1392.0
1367.7,1367.8,0.0,430.7
1368.7,1368.8,0.0,229.0
1369.69,1369.79,0.0,192.6
1370.62,1370.72,0.0,182.4
1371.65,1371.75,0.0,339.0
1371.76,1371.86,0.0,95.91
1372.67,1372.77,0.0,202.0
1373.65,1373.75,0.0,117.0
1374.14,1374.24,0.0,76.11
1380.65,1380.75,0.0,88.82
1381.65,1381.75,0.0,52.22
1383.43,1383.53,0.0,22.02
1387.67,1387.77,0.0,44.09
1404.57,1404.67,0.0,61.51
1418.78,1418.88,0.0,97.2
1421.56,1421.66,0.0,36.53
1422.69,1422.79,0.0,29.73
1423.66,1423.76,0.0,41.75
1429.6,1429.7,0.0,27.55
1431.54,1431.64,0.0,109.3
1431.95,1432.05,0.0,14.31
1433.72,1433.82,0.0,51.16
1435.62,1435.72,0.0,110.0
1443.68,1443.78,0.0,37.49
1450.96,1451.06,0.0,30.75
1460.71,1460.81,0.0,76.84
1461.74,1461.84,0.0,29.78
1466.63,1466.73,0.0,44.45
1480.73,1480.83,0.0,31.91
1484.65,1484.75,0.0,82.57
1498.7,1498.8,0.0,49.93
1499.46,1499.56,0.0,56.26
