G_tag,I_tag,M_tag,cluster_id,estimate,formula,g,molType,mz_L,mz_R,q,tot_estimate_tmp,tot_intensity_tmp
G75,I729,M70,0,0.338884586097,C63H96N17O13S1,0,z11,1335.68,1335.75,1,573.194981649,576.9
G78,I728,M70,0,131.229156612,C63H96N17O13S1,0,z11,1334.67,1334.75,1,1677.27820671,2000.0
G77,I723,M70,0,3.12359480688,C63H96N17O13S1,0,z11,1333.67,1333.75,1,3702.70797796,3397.0
G129,I498,M51,1,0.0414056261196,C22H33N4O4S1,2,z4,456.18,456.27,1,0.0414056261196,0.0
G130,I499,M51,1,0.00500132322057,C22H33N4O4S1,2,z4,456.18,456.27,1,0.00500132322057,0.0
G120,I491,M51,1,22.1308869941,C22H33N4O4S1,2,z4,452.21,452.27,1,80.5682619167,56.61
G112,I492,M51,1,0.0778634058648,C22H33N4O4S1,2,z4,453.18,453.27,1,5.33432079232,73.54
G116,I492,M51,1,0.42091362895,C22H33N4O4S1,2,z4,453.18,453.27,1,19.5839008832,87.79
G116,I493,M51,1,5.42809105504,C22H33N4O4S1,2,z4,453.18,453.27,1,19.5839008832,87.79
G131,I494,M51,1,1.11037164839,C22H33N4O4S1,2,z4,454.18,454.27,1,1.11037164839,0.0
G132,I495,M51,1,0.818449451309,C22H33N4O4S1,2,z4,454.18,454.27,1,0.818449451309,0.0
G113,I496,M51,1,0.258625084328,C22H33N4O4S1,2,z4,455.18,455.27,1,0.817137492448,360.0
G113,I497,M51,1,0.101585229315,C22H33N4O4S1,2,z4,455.18,455.27,1,0.817137492448,360.0
G113,I489,M50,1,0.407683680968,C22H33N4O4S1,1,z4,455.18,455.27,1,0.817137492448,360.0
G123,I488,M50,1,1.00021770229,C22H33N4O4S1,1,z4,454.18,454.27,1,1.00021770229,0.0
G120,I483,M50,1,4.91100549834,C22H33N4O4S1,1,z4,452.21,452.27,1,80.5682619167,56.61
G118,I482,M50,1,71.2974162096,C22H33N4O4S1,1,z4,451.18,451.19,1,71.2974162133,71.55
G117,I482,M50,1,146.605374266,C22H33N4O4S1,1,z4,451.21,451.27,1,178.972108212,179.3
G126,I487,M50,1,2.54644685398,C22H33N4O4S1,1,z4,454.18,454.27,1,2.54644685398,0.0
